ZCTA5 12420,87187,27195
ZCTA5 12421,59130,13888
ZCTA5 12422,47916,22796
ZCTA5 12423,62877,14996
ZCTA5 12424,54681,14242
ZCTA5 12427,90180,24056
ZCTA5 12428,58613,6060
ZCTA5 12429,142900,63769
ZCTA5 12430,53754,7673
ZCTA5 12431,68547,23555
ZCTA5 12432,71494,16509
ZCTA5 12433,157121,43207
ZCTA5 12434,36868,9095
ZCTA5 12435,58831,17538
ZCTA5 12436,76416,15198
ZCTA5 12438,102758,19758
ZCTA5 12439,43803,11322
ZCTA5 12440,67588,9854
ZCTA5 12441,109629,27900
ZCTA5 12442,66127,23135
ZCTA5 12443,96457,15400
ZCTA5 12444,42671,10281
ZCTA5 12446,74280,14376
ZCTA5 12448,104574,45448
ZCTA5 12449,59758,7728
ZCTA5 12450,21744,11224
ZCTA5 12451,61111,9714
ZCTA5 12452,47411,14537
ZCTA5 12453,111920,60721
ZCTA5 12454,64062,11394
ZCTA5 12455,53307,7126
ZCTA5 12456,51519,6554
ZCTA5 12457,74929,26150
ZCTA5 12458,63008,9804
ZCTA5 12459,81075,33381
ZCTA5 12460,55678,15255
ZCTA5 12461,90021,26396
ZCTA5 12463,57249,14042
ZCTA5 12464,77652,26618
ZCTA5 12465,129968,102149
ZCTA5 12466,77774,10662
ZCTA5 12468,56402,11477
ZCTA5 12469,63212,12992
ZCTA5 12470,42664,17376
ZCTA5 12471,48287,18157
ZCTA5 12472,59925,9922
ZCTA5 12473,112855,47214
ZCTA5 12474,58622,9403
ZCTA5 12475,67573,26047
ZCTA5 12477,80050,7078
ZCTA5 12480,57340,22166
ZCTA5 12481,67256,18451
ZCTA5 12482,44165,13991
ZCTA5 12483,64211,20599
ZCTA5 12484,88195,12848
ZCTA5 12485,46105,7393
ZCTA5 12486,85317,15368
ZCTA5 12487,83778,13794
ZCTA5 12489,59549,17685
ZCTA5 12490,-,**
ZCTA5 12491,72599,11848
ZCTA5 12492,57262,10583
ZCTA5 12493,79631,18504
ZCTA5 12494,67453,14465
ZCTA5 12495,81568,40454
ZCTA5 12496,68907,10299
ZCTA5 12498,108049,16862
ZCTA5 12501,100340,31375
ZCTA5 12502,77663,9588
ZCTA5 12503,90629,20794
ZCTA5 12504,52512,16323
ZCTA5 12507,72593,35281
ZCTA5 12508,76329,4407
ZCTA5 12512,153446,97473
ZCTA5 12513,70653,21734
ZCTA5 12514,108321,15535
ZCTA5 12515,72163,17230
ZCTA5 12516,88438,30656
ZCTA5 12517,76498,19219
ZCTA5 12518,99184,8976
ZCTA5 12520,121028,15739
ZCTA5 12521,79567,11238
ZCTA5 12522,67076,8900
ZCTA5 12523,80246,13952
ZCTA5 12524,88400,4440
ZCTA5 12525,91088,16459
ZCTA5 12526,80504,7192
ZCTA5 12527,142800,17340
ZCTA5 12528,78948,5246
ZCTA5 12529,98205,19213
ZCTA5 12530,N,N
ZCTA5 12531,113732,19335
ZCTA5 12533,121345,5969
ZCTA5 12534,63942,5403
ZCTA5 12538,81994,4392
ZCTA5 12540,116249,10040
ZCTA5 12542,71817,6113
ZCTA5 12543,72683,7477
ZCTA5 12545,93928,11317
ZCTA5 12546,73910,11095
ZCTA5 12547,87714,9199
ZCTA5 12548,65557,11765
ZCTA5 12549,100660,12339
ZCTA5 12550,72727,3246
ZCTA5 12553,85405,4132
ZCTA5 12561,86972,7838
ZCTA5 12563,90876,6960
ZCTA5 12564,115374,16260
ZCTA5 12565,61186,12479
ZCTA5 12566,94249,8785
ZCTA5 12567,91295,11442
ZCTA5 12569,96733,14297
ZCTA5 12570,120769,11301
ZCTA5 12571,91682,5610
ZCTA5 12572,112272,12782
ZCTA5 12574,95787,23752
